benign_subtype,class_id,dataset_group,feature_alias_token_count,feature_alias_tokens,feature_backtick_count,feature_base64_candidate_count,feature_benign_admin_token_count,feature_benign_admin_tokens,feature_concat_operator_count,feature_digit_count,feature_digit_ratio,feature_entropy,feature_has_base64_indicator,feature_high_risk_token_count,feature_high_risk_tokens,feature_ip_like_count,feature_length,feature_line_count,feature_lolbin_token_count,feature_lolbin_tokens,feature_longest_base64_candidate,feature_quote_count,feature_special_char_count,feature_special_char_ratio,feature_split_indicator_pattern_count,feature_suspicious_token_count,feature_suspicious_tokens,feature_token_count,feature_uppercase_count,feature_uppercase_ratio,feature_url_count,feature_whitespace_ratio,hybrid_prediction,id,label,lexical_prediction,lexical_reasons,lexical_score,lexical_threshold,mitre_attack_id,obfuscation_type,safety_class,scenario,source_family,tactic,technique,truth,wazuh_alert_count,wazuh_prediction,wazuh_rule_descriptions,wazuh_rule_ids
normal_benign,0,normal_benign,0,,0,0,2,get-process;select-object,0,7,0.039106,5.228977,False,0,,0,179,1,0,,0,6,35,0.195531,0,0,,18,28,0.156425,0,0.111732,0,BEN-001,benign,0,+1:medium_entropy;+1:high_entropy;+1:medium_special_char_ratio;-2:benign_admin_only,1,6,N/A,none,benign_safe_execution,process_inventory_normal_v1,Benign Windows/PowerShell administration,Benign Administration,Benign PowerShell read-only or formatting command,0,0,0,,
normal_benign,0,normal_benign,0,,0,0,2,get-service;select-object,0,7,0.039326,5.18845,False,0,,0,178,1,0,,0,6,34,0.191011,0,0,,17,25,0.140449,0,0.106742,0,BEN-002,benign,0,+1:medium_entropy;+1:high_entropy;+1:medium_special_char_ratio;-2:benign_admin_only,1,6,N/A,none,benign_safe_execution,service_inventory_normal_v1,Benign Windows/PowerShell administration,Benign Administration,Benign PowerShell read-only or formatting command,0,0,0,,
normal_benign,0,normal_benign,0,,0,0,2,get-ciminstance;select-object,0,8,0.038647,5.259239,False,0,,0,207,1,0,,0,6,35,0.169082,0,0,,17,30,0.144928,0,0.091787,0,BEN-003,benign,0,+1:medium_entropy;+1:high_entropy;+1:medium_special_char_ratio;-2:benign_admin_only,1,6,N/A,none,benign_safe_execution,os_inventory_normal_v1,Benign Windows/PowerShell administration,Benign Administration,Benign PowerShell read-only or formatting command,0,0,0,,
normal_benign,0,normal_benign,0,,0,0,2,get-ciminstance;select-object,0,8,0.041026,5.270481,False,0,,0,195,1,0,,0,6,34,0.174359,0,0,,16,31,0.158974,0,0.092308,0,BEN-004,benign,0,+1:medium_entropy;+1:high_entropy;+1:medium_special_char_ratio;-2:benign_admin_only,1,6,N/A,none,benign_safe_execution,bios_inventory_normal_v1,Benign Windows/PowerShell administration,Benign Administration,Benign PowerShell read-only or formatting command,0,0,0,,
normal_benign,0,normal_benign,0,,0,0,2,get-ciminstance;select-object,0,8,0.039801,5.317045,False,0,,0,201,1,0,,0,6,35,0.174129,0,0,,17,32,0.159204,0,0.094527,0,BEN-005,benign,0,+1:medium_entropy;+1:high_entropy;+1:medium_special_char_ratio;-2:benign_admin_only,1,6,N/A,none,benign_safe_execution,disk_inventory_normal_v1,Benign Windows/PowerShell administration,Benign Administration,Benign PowerShell read-only or formatting command,0,0,0,,
normal_benign,0,normal_benign,0,,0,0,2,get-netipconfiguration;select-object,0,8,0.04,5.265209,False,0,,0,200,1,0,,0,6,35,0.175,0,0,,17,31,0.155,0,0.095,0,BEN-006,benign,0,+1:medium_entropy;+1:high_entropy;+1:medium_special_char_ratio;-2:benign_admin_only,1,6,N/A,none,benign_safe_execution,net_ip_config_normal_v1,Benign Windows/PowerShell administration,Benign Administration,Benign PowerShell read-only or formatting command,0,0,0,,
normal_benign,0,normal_benign,0,,0,0,2,get-netadapter;select-object,0,7,0.037433,5.136603,False,0,,0,187,1,0,,0,6,35,0.187166,0,0,,18,28,0.149733,0,0.106952,0,BEN-007,benign,0,+1:medium_entropy;+1:high_entropy;+1:medium_special_char_ratio;-2:benign_admin_only,1,6,N/A,none,benign_safe_execution,net_adapter_normal_v1,Benign Windows/PowerShell administration,Benign Administration,Benign PowerShell read-only or formatting command,0,0,0,,
normal_benign,0,normal_benign,0,,0,0,2,get-winevent;select-object,0,7,0.03271,5.224004,False,0,,0,214,1,0,,0,6,36,0.168224,0,0,,20,33,0.154206,0,0.102804,0,BEN-008,benign,0,+1:medium_entropy;+1:high_entropy;+1:medium_special_char_ratio;-2:benign_admin_only,1,6,N/A,none,benign_safe_execution,system_eventlog_normal_v1,Benign Windows/PowerShell administration,Benign Administration,Benign PowerShell read-only or formatting command,0,0,0,,
normal_benign,0,normal_benign,0,,0,0,2,get-childitem;select-object,0,7,0.032864,5.259585,False,0,,0,213,1,0,,0,6,37,0.173709,0,0,,21,34,0.159624,0,0.103286,0,BEN-009,benign,0,+1:medium_entropy;+1:high_entropy;+1:medium_special_char_ratio;-2:benign_admin_only,1,6,N/A,none,benign_safe_execution,temp_listing_normal_v1,Benign Windows/PowerShell administration,Benign Administration,Benign PowerShell read-only or formatting command,0,0,0,,
normal_benign,0,normal_benign,0,,0,0,1,test-path,0,6,0.040816,5.246456,False,0,,0,147,1,0,,0,6,33,0.22449,0,0,,15,25,0.170068,0,0.102041,0,BEN-010,benign,0,+1:medium_entropy;+1:high_entropy;+1:medium_special_char_ratio;+1:high_special_char_ratio,4,6,N/A,none,benign_safe_execution,path_check_normal_v1,Benign Windows/PowerShell administration,Benign Administration,Benign PowerShell read-only or formatting command,0,0,0,,
